Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[coldstart-distilbert] probe,1,0,25660.46595806256,25660.46595806256,25660.46595806256,25660.46595806256,180.0,0.038968620892410204,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
,Aggregated,1,0,25660.46595806256,25660.46595806256,25660.46595806256,25660.46595806256,180.0,0.038968620892410204,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
