Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[gke] tfidf,8805,0,70,85.53023272658572,52.2980410605669,351.7455830005929,171.14787052810902,88.6755920369521,0.0,70,77,100,120,140,150,170,180,300,350,350
,Aggregated,8805,0,70,85.53023272658572,52.2980410605669,351.7455830005929,171.14787052810902,88.6755920369521,0.0,70,77,100,120,140,150,170,180,300,350,350
