Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[cloudrun] distilbert,1507,0,510.0,522.0110534657721,324.9761250335723,3576.7767500365153,178.6224286662243,12.618794081057223,0.0,510,540,570,580,630,680,770,860,1100,3600,3600
,Aggregated,1507,0,510.0,522.0110534657721,324.9761250335723,3576.7767500365153,178.6224286662243,12.618794081057223,0.0,510,540,570,580,630,680,770,860,1100,3600,3600
