Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[coldstart] probe,1,0,184.71541709732264,184.71541709732264,184.71541709732264,184.71541709732264,172.0,5.398929302836871,0.0,180,180,180,180,180,180,180,180,180,180,180
,Aggregated,1,0,184.71541709732264,184.71541709732264,184.71541709732264,184.71541709732264,172.0,5.398929302836871,0.0,180,180,180,180,180,180,180,180,180,180,180
