Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[cloudrun] distilbert,39,0,480.0,553.6036228414816,346.23233403544873,3793.0479160277173,178.43589743589743,0.6687342427837599,0.0,480,500,510,520,580,610,3800,3800,3800,3800,3800
,Aggregated,39,0,480.0,553.6036228414816,346.23233403544873,3793.0479160277173,178.43589743589743,0.6687342427837599,0.0,480,500,510,520,580,610,3800,3800,3800,3800,3800
