Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[gke] distilbert,44,0,350.0,366.0490171512885,289.95066706556827,485.1329589728266,178.45454545454547,0.7504840353735004,0.0,350,390,410,420,440,460,490,490,490,490,490
,Aggregated,44,0,350.0,366.0490171512885,289.95066706556827,485.1329589728266,178.45454545454547,0.7504840353735004,0.0,350,390,410,420,440,460,490,490,490,490,490
