Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[coldstart] probe,1,0,22635.14787494205,22635.14787494205,22635.14787494205,22635.14787494205,180.0,0.04417652468689445,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
,Aggregated,1,0,22635.14787494205,22635.14787494205,22635.14787494205,22635.14787494205,180.0,0.04417652468689445,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
