Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[gke] distilbert,481,119,17000.0,15370.610977220253,50.150541006587446,30188.53783304803,218.012474012474,4.842700394731191,1.1980901184470099,17000,19000,20000,23000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,481,119,17000.0,15370.610977220253,50.150541006587446,30188.53783304803,218.012474012474,4.842700394731191,1.1980901184470099,17000,19000,20000,23000,30000,30000,30000,30000,30000,30000,30000
