Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[gke] tfidf,54,0,68,75.95731250519209,59.05612499918789,147.58462505415082,171.07407407407408,0.9278059405098275,0.0,68,70,72,74,110,140,140,150,150,150,150
,Aggregated,54,0,68,75.95731250519209,59.05612499918789,147.58462505415082,171.07407407407408,0.9278059405098275,0.0,68,70,72,74,110,140,140,150,150,150,150
